userId|login|username|password
1|user0@mail.com|user0|757
2|user1@mail.com|user1|453
3|user2@mail.com|user2|564
4|user3@mail.com|user3|482
5|user4@mail.com|user4|511
6|user5@mail.com|user5|39
7|user6@mail.com|user6|641
8|user7@mail.com|user7|381
9|user8@mail.com|user8|578
10|user9@mail.com|user9|815
11|user10@mail.com|user10|217
12|user11@mail.com|user11|523
13|user12@mail.com|user12|53
14|user13@mail.com|user13|828
15|user14@mail.com|user14|741
16|user15@mail.com|user15|392
17|user16@mail.com|user16|835
18|user17@mail.com|user17|915
19|user18@mail.com|user18|753
20|user19@mail.com|user19|728
21|user20@mail.com|user20|547
22|user21@mail.com|user21|204
23|user22@mail.com|user22|647
24|user23@mail.com|user23|966
25|user24@mail.com|user24|589
26|user25@mail.com|user25|812
27|user26@mail.com|user26|24
28|user27@mail.com|user27|665
29|user28@mail.com|user28|786
30|user29@mail.com|user29|493
31|user30@mail.com|user30|252
32|user31@mail.com|user31|748
33|user32@mail.com|user32|933
34|user33@mail.com|user33|222
35|user34@mail.com|user34|687
36|user35@mail.com|user35|906
37|user36@mail.com|user36|669
38|user37@mail.com|user37|957
39|user38@mail.com|user38|180
40|user39@mail.com|user39|30
41|user40@mail.com|user40|585
42|user41@mail.com|user41|994
43|user42@mail.com|user42|888
44|user43@mail.com|user43|364
45|user44@mail.com|user44|24
46|user45@mail.com|user45|391
47|user46@mail.com|user46|110
48|user47@mail.com|user47|652
49|user48@mail.com|user48|116
50|user49@mail.com|user49|671
51|user50@mail.com|user50|208
52|user51@mail.com|user51|855
53|user52@mail.com|user52|25
54|user53@mail.com|user53|189
55|user54@mail.com|user54|756
56|user55@mail.com|user55|750
57|user56@mail.com|user56|692
58|user57@mail.com|user57|643
59|user58@mail.com|user58|501
60|user59@mail.com|user59|178
61|user60@mail.com|user60|59
62|user61@mail.com|user61|757
63|user62@mail.com|user62|257
64|user63@mail.com|user63|14
65|user64@mail.com|user64|36
66|user65@mail.com|user65|858
67|user66@mail.com|user66|741
68|user67@mail.com|user67|772
69|user68@mail.com|user68|481
70|user69@mail.com|user69|533
71|user70@mail.com|user70|230
72|user71@mail.com|user71|390
73|user72@mail.com|user72|287
74|user73@mail.com|user73|887
75|user74@mail.com|user74|884
76|user75@mail.com|user75|502
77|user76@mail.com|user76|101
78|user77@mail.com|user77|744
79|user78@mail.com|user78|167
80|user79@mail.com|user79|940
81|user80@mail.com|user80|705
82|user81@mail.com|user81|523
83|user82@mail.com|user82|637
84|user83@mail.com|user83|439
85|user84@mail.com|user84|426
86|user85@mail.com|user85|490
87|user86@mail.com|user86|14
88|user87@mail.com|user87|520
89|user88@mail.com|user88|943
90|user89@mail.com|user89|683
91|user90@mail.com|user90|627
92|user91@mail.com|user91|725
93|user92@mail.com|user92|217
94|user93@mail.com|user93|766
95|user94@mail.com|user94|936
96|user95@mail.com|user95|989
97|user96@mail.com|user96|329
98|user97@mail.com|user97|326
99|user98@mail.com|user98|818
100|user99@mail.com|user99|742
